ngiemboon,en
Wɔɔn ée nkʉ̀ gẅie Cʉ̀apʉ̀a la túmo Malashʉ ngie à gʉa ńtsẅii mbwó pʉ̀a Ésàlayɛ.,A pronouncement:  
"Cʉ̀apʉ̀a ne ńgɔɔn né pʉ̀a Ésàlayɛ ngie: «Mèŋ Cʉ̀apʉ̀a n kwoŋo gẅí.» Táʼ pi ne ńzɛ́te wɔ́ɔn ngie: «Ammó gie á nyɛɛ ngie ɔ̀ kwoŋo wég áa kɔ́?» N ne ńzɛ́te gẅí yɔ́ɔn ngie: «Ezagẅi la te fɛ̌ Yakwɔ̂b wɔ́ le? Táʼ, anò Yakwɔ̂b la kúu twó mèŋ, ","“I have loved you,”   says the Lord."
"ńcʉa ye Ezagẅi. Epʉ̀a Ezagẅi tsẅé tsɛ̀ɛ pàga láʼa mekwɛ́ gie n da sele ńdɔg ńgÿo nkùɔmekwaʼá, ḿbiŋ sẅéen ngwòŋ wɔ́b ńná né ngwètsẅɛ. ","but I hated Esau.   I turned his mountains into a wasteland, and gave his inheritance to the desert jackals.”  # 1:3 Is 34:5–17; Jr 49:7–22; Ezk 35:1–15"
"Epʉ̀a Éndɔ̀m lɔɔn ńgɔɔn ngie: “Mé ka tág metÿǒsoŋ még, táʼ, peg ge gíŋe kwɛ́ sẅesẅé!” Mèŋ Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ ne ńgɔɔn ngie: “Pɔ́ lɔɔn ńkwɛ́, mbà n ge gíŋe tág.” Mé ge gÿo tóŋo wɔ́b lê: “Aláʼa pʉ̀a tepòŋ, mbɔɔ lê pʉ̀a pie Cʉ̀apʉ̀a aa fʉ̀ʼ ntsèm ne ńgyáŋa pɔ́ lóŋ né pɔ́b.” ","Though Edom says, “We have been devastated, but we will rebuild   the ruins,” the Lord of Armies says this: “They may build, but I will demolish. They will be called a wicked country  # 1:4 Mal 3:12,15 and the people the Lord has cursed  # 1:4 Or Lord is angry with forever.  # 1:4 Is 34:5–17; Jr 49:17–18; Mal 1:14; 2:2; 3:9; 4:6 "
"Pi pʉ̀a Ésàlayɛ, pi ge gyá púʼu, é gɔɔn ngie: “Cʉ̀apʉ̀a gẅiin ngʉ̀ʼ, tà mbɔɔ tsɛ̀ɛ tsɔ́ mengwòŋ mie é té me pʉ̀a Ésàlayɛ wɔ́.”»","Your own eyes will see this, and you yourselves will say, ‘The Lord is great, even beyond   the borders of Israel.’  # 1:5 Ps 67:1–7; 72:8–11; Ezk 39:7; Zch 12:1–10; Rm 11:11–12"
"«Múɔ ná mekùʼ tá we, angàŋafàʼ ná mekùʼ táfàʼ we. Á lɔɔn ńgwɔ́ gie mèŋ n gee tá, mbà mekùʼ mɔ́ɔn ee nzɔ̌? Ńgwɔ́ gie mèŋ n gee táfàʼ, mbà lepɔgɔ́ wɔ́ɔn aa nzɔ̌? Cʉ̀apʉ̀a é Ssé gie e piʼi kɔ̀ɔkɔ́ɔ zɔ gɔɔn. Ńgʉa na pi panuŋepwɔʼ pie pi gwága lezíŋ sɔ́ɔn tà ńzɛ́te ngie: “Peg lɔgɔ́ kɔ́ ńgwág lezíŋ shú?” ","“A son honors his father, and a servant his master. But if I am a father, where is my honor? And if I am a master, where is your fear of me?   says the Lord of Armies to you priests, who despise my name.”"
"Pi lɔg shúm sie ncÿǒ ée mǒ ńtó nuŋe ndùm jʉʼʉ lenuŋé pwɔʼ yɔ́ɔn, ńzɛ́te ngie: “Peg lɔgɔ́ kɔ́ ńnéŋ ncÿǒ na gù?” Pi lɔgɔ púʼu ńgɔɔn ngie jʉʼʉ lenuŋé pwɔʼ Cʉ̀apʉ̀a gwɔ́ pɔ́ mmó gie ngwɔ́ mé gwág gwǎg. ",“By presenting defiled food on my altar.”
"Pi lɔgɔ nɔ̀ɔn gẅie aa fʉ̀ ńnuŋe pwɔʼ mvfò mèŋ péʼe, á gwɔ́ mbòŋ púʼu? Ńdɔgɔ nɔ̀ɔn gẅie aa pwɔ̀ʼɔ kwò kà pɔ́ gẅie aa nguɔ wɔ́ɔ, ńnuŋe pwɔʼ mvfò mèŋ péʼe, á gwɔ́ mbòŋ púʼu? Pi lɔɔn ńnáa mbwó nyìŋ gẅie à sáʼa pàga láʼ gí, mbà nò ge poŋo yé? Mbà à lɔɔn ngwɔ́ á lɔgɔ pòŋontʉ́m ńkẅé gẅí? Mèŋ Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ zɔ zɛ́te. ","“When you present a blind animal for sacrifice, is it not wrong? And when you present a lame or sick animal, is it not wrong?   Bring it to your governor! Would he be pleased with you or show you favor? ” asks the Lord of Armies. "
"Afʉ̀ʼɔɔn la, n ne ńtsɔ́ɔn ngie pi sẅíŋte wɔ́ɔn. Á wɔ́ɔn gẅie n gee Ssé gi, légwɔ́ gie n tsɔ́ɔn mezìŋe mí. Tà à lɔɔn ngwɔ́ pi fʉʼ nò pɛ́ʼɛ̀, n kẅé gẅí mboŋó lêkɔ́? Mèŋ Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ zɔ zɛ́te. ","“And now plead for God’s favor. Will he be gracious to us?   Since this has come from your hands, will he show any of you favor? ”  # 1:9 Nm 6:25–26 asks the Lord of Armies. "
"Mvfò kaa páʼ ngwɔ́ tsɔ̌ nyìŋ na pi jÿɔ́ʼ ncwò ndá Ssé. Légwɔ́ gie pi te gʉa ndùm jʉʼʉ lenuŋé pwɔʼ yɔ́ɔn, é nyɛte mmɔ̌g sẅɛ̀ɛ sẅɛ̀ɛ wɔ́. Á zɔɔn ńgwaa gwɔ́, mèŋ Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ, n ne ńdíe gẅí pɛ́ʼɛ̀ anò gí té ne ḿboŋo wɔ́ɔn mɔ́, mbɔɔ shúm pwɔʼ sie pi lɔgɔ ńtóo ńnáa né mèŋ, é te ne ḿboŋo wɔ́ɔn mɔ́. ","“I wish one of you would shut the temple doors,   so that you would no longer kindle a useless fire on my altar!  # 1:10 Pr 1:17; Is 1:14 I am not pleased with you,” says the Lord of Armies, “and I will accept  # 1:10 Lv 22:19–21 no offering from your hands.  # 1:10 Is 1:10–17; Jr 6:20; Am 5:21–23; Mc 6:6–8"
